iter	Passed	Remaining
565	3428	2628
566	3434	2622
567	3440	2616
568	3446	2610
569	3452	2604
570	3458	2598
571	3465	2592
572	3470	2586
573	3476	2579
574	3481	2572
575	3486	2566
576	3491	2559
577	3496	2552
578	3501	2546
579	3506	2539
580	3511	2532
581	3516	2525
582	3522	2519
583	3527	2512
584	3532	2505
585	3538	2499
586	3543	2492
587	3548	2486
588	3553	2479
589	3558	2472
590	3563	2466
591	3568	2459
592	3573	2452
593	3578	2445
594	3583	2439
595	3588	2432
596	3593	2425
597	3598	2419
598	3603	2412
599	3608	2405
600	3614	2399
601	3619	2392
602	3624	2386
603	3630	2380
604	3636	2374
605	3642	2368
606	3648	2362
607	3654	2356
608	3660	2350
609	3666	2343
610	3672	2338
611	3678	2331
612	3683	2325
613	3688	2318
614	3692	2311
615	3698	2305
616	3703	2298
617	3708	2292
618	3714	2286
619	3720	2280
620	3725	2273
621	3730	2267
622	3735	2260
623	3740	2253
624	3745	2247
625	3750	2240
626	3755	2234
627	3760	2227
628	3765	2220
629	3770	2214
630	3775	2208
631	3781	2201
632	3786	2195
633	3791	2188
634	3796	2182
635	3801	2175
636	3806	2169
637	3811	2162
638	3816	2156
639	3821	2149
640	3827	2143
641	3834	2138
642	3840	2132
643	3846	2126
644	3891	2141
645	3929	2153
646	3951	2155
647	3990	2167
648	4002	2164
649	4018	2164
650	4026	2158
651	4034	2153
652	4041	2147
653	4048	2141
654	4054	2135
655	4072	2135
656	4087	2133
657	4094	2128
658	4101	2122
659	4108	2116
660	4115	2110
661	4121	2104
662	4127	2098
663	4136	2093
664	4142	2086
665	4148	2080
666	4156	2075
667	4162	2068
668	4168	2062
669	4173	2055
670	4178	2048
671	4183	2041
672	4188	2035
673	4193	2028
674	4199	2021
675	4205	2015
676	4210	2009
677	4216	2002
678	4221	1995
679	4226	1988
680	4231	1982
681	4236	1975
682	4241	1968
683	4247	1962
684	4255	1957
685	4262	1951
686	4268	1944
687	4273	1938
688	4279	1931
689	4286	1925
690	4292	1919
691	4299	1913
692	4306	1907
693	4313	1901
694	4318	1895
695	4323	1888
696	4331	1882
697	4336	1876
698	4343	1870
699	4349	1864
700	4354	1857
701	4361	1851
702	4366	1844
703	4371	1838
704	4377	1831
705	4382	1825
706	4388	1818
707	4393	1811
708	4398	1805
709	4403	1798
710	4408	1791
711	4413	1785
712	4418	1778
713	4423	1771
714	4428	1765
715	4433	1758
716	4438	1751
717	4443	1745
718	4448	1738
719	4453	1731
720	4459	1725
721	4464	1719
722	4470	1712
723	4476	1706
724	4482	1700
725	4487	1693
726	4493	1687
727	4499	1681
728	4507	1675
729	4514	1669
730	4520	1663
731	4526	1657
732	4532	1650
733	4538	1644
734	4543	1638
735	4549	1631
736	4554	1625
737	4559	1618
738	4564	1612
739	4570	1605
740	4575	1599
741	4580	1592
742	4585	1586
743	4590	1579
744	4595	1572
745	4600	1566
746	4606	1560
747	4611	1553
748	4616	1547
749	4622	1540
750	4627	1534
751	4632	1527
752	4638	1521
753	4643	1515
754	4648	1508
755	4653	1502
756	4658	1495
757	4663	1488
758	4669	1482
759	4675	1476
760	4681	1470
761	4687	1464
762	4693	1457
763	4699	1451
764	4705	1445
765	4711	1439
766	4718	1433
767	4724	1427
768	4730	1420
769	4735	1414
770	4740	1407
771	4745	1401
772	4750	1395
773	4755	1388
774	4760	1382
775	4765	1375
776	4770	1369
777	4775	1362
778	4780	1356
779	4785	1349
780	4790	1343
781	4795	1336
782	4800	1330
783	4805	1324
784	4811	1317
785	4815	1311
786	4821	1304
787	4826	1298
788	4831	1291
789	4836	1285
790	4841	1279
791	4846	1272
792	4851	1266
793	4856	1259
794	4861	1253
795	4866	1247
796	4871	1240
797	4876	1234
798	4883	1228
799	4889	1222
800	4895	1216
801	4901	1210
802	4907	1203
803	4913	1197
804	4918	1191
805	4924	1185
806	4931	1179
807	4936	1173
808	4942	1166
809	4947	1160
810	4952	1154
811	4957	1147
812	4962	1141
813	4967	1135
814	4972	1128
815	4977	1122
816	4982	1116
817	4987	1109
818	4992	1103
819	4997	1097
820	5002	1090
821	5007	1084
822	5013	1078
823	5017	1071
824	5023	1065
825	5027	1059
826	5033	1052
827	5038	1046
828	5043	1040
829	5049	1034
830	5054	1027
831	5059	1021
832	5064	1015
833	5069	1009
834	5074	1002
835	5081	996
836	5087	990
837	5093	984
838	5098	978
839	5104	972
840	5110	966
841	5116	960
842	5122	953
843	5128	947
844	5134	941
845	5139	935
846	5144	929
847	5150	923
848	5155	916
849	5159	910
850	5165	904
851	5170	898
852	5175	891
853	5180	885
854	5185	879
855	5190	873
856	5195	866
857	5200	860
858	5205	854
859	5210	848
860	5215	842
861	5220	835
862	5226	829
863	5231	823
864	5236	817
865	5241	811
866	5246	804
867	5251	798
868	5256	792
869	5261	786
870	5266	780
871	5271	773
872	5276	767
873	5281	761
874	5286	755
875	5291	749
876	5297	742
877	5303	736
878	5309	730
879	5315	724
880	5321	718
881	5327	712
882	5333	706
883	5339	700
884	5345	694
885	5352	688
886	5358	682
887	5363	676
888	5368	670
889	5374	664
890	5380	658
891	5385	652
892	5391	646
893	5396	639
894	5402	633
895	5407	627
896	5413	621
897	5418	615
898	5423	609
899	5428	603
900	5434	597
901	5439	591
902	5445	584
903	5450	578
904	5455	572
905	5460	566
906	5466	560
907	5471	554
908	5476	548
909	5481	542
910	5487	536
911	5493	530
912	5499	524
913	5505	518
914	5511	512
915	5517	505
916	5523	499
917	5529	493
918	5535	487
919	5541	481
920	5547	475
921	5554	469
922	5559	463
923	5564	457
924	5570	451
925	5575	445
926	5580	439
927	5586	433
928	5591	427
929	5596	421
930	5601	415
931	5606	409
932	5612	403
933	5617	396
934	5622	390
935	5628	384
936	5633	378
937	5638	372
938	5644	366
939	5649	360
940	5655	354
941	5660	348
942	5665	342
943	5671	336
944	5676	330
945	5681	324
946	5687	318
947	5692	312
948	5698	306
949	5704	300
950	5710	294
951	5716	288
952	5722	282
953	5728	276
954	5735	270
955	5741	264
956	5747	258
957	5753	252
958	5760	246
959	5765	240
960	5770	234
961	5776	228
962	5781	222
963	5786	216
964	5792	210
965	5797	204
966	5802	198
967	5808	192
968	5813	185
969	5818	179
970	5823	173
971	5829	167
972	5834	161
973	5839	155
974	5844	149
975	5849	143
976	5854	137
977	5860	131
978	5865	125
979	5870	119
980	5876	113
981	5882	107
982	5887	101
983	5892	95
984	5897	89
985	5903	83
986	5910	77
987	5917	71
988	5923	65
989	5930	59
990	5936	53
991	5942	47
992	5948	41
993	5954	35
994	5960	29
995	5966	23
996	5975	17
997	5980	11
998	5985	5
999	5990	0
