iter	Passed	Remaining
660	2581	1324
661	2586	1320
662	2588	1315
663	2595	1313
664	2599	1309
665	2603	1305
666	2610	1303
667	2615	1299
668	2619	1296
669	2625	1293
670	2628	1288
671	2633	1285
672	2638	1282
673	2640	1277
674	2645	1273
675	2650	1270
676	2656	1267
677	2657	1262
678	2661	1258
679	2666	1254
680	2672	1251
681	2677	1248
682	2682	1244
683	2689	1242
684	2693	1238
685	2698	1234
686	2705	1232
687	2710	1229
688	2715	1225
689	2723	1223
690	2729	1220
691	2735	1217
692	2742	1214
693	2747	1211
694	2755	1209
695	2757	1204
696	2762	1200
697	2770	1198
698	2776	1195
699	2778	1190
700	2784	1187
701	2785	1182
702	2789	1178
703	2794	1174
704	2800	1172
705	2802	1167
706	2806	1163
707	2810	1159
708	2816	1156
709	2821	1152
710	2826	1148
711	2832	1145
712	2834	1141
713	2840	1137
714	2842	1133
715	2847	1129
716	2851	1125
717	2856	1121
718	2860	1118
719	2865	1114
720	2870	1110
721	2871	1105
722	2875	1101
723	2879	1097
724	2883	1093
725	2885	1089
726	2889	1085
727	2891	1080
728	2895	1076
729	2897	1071
730	2902	1068
731	2906	1064
732	2910	1060
733	2914	1056
734	2920	1052
735	2923	1048
736	2927	1044
737	2931	1040
738	2936	1037
739	2938	1032
740	2942	1028
741	2943	1023
742	2950	1020
743	2954	1016
744	2958	1012
745	2963	1008
746	2967	1005
747	2972	1001
748	2975	997
749	2980	993
750	2984	989
751	2988	985
752	2990	981
753	2995	977
754	2999	973
755	3004	969
756	3007	965
757	3009	960
758	3014	957
759	3018	953
760	3023	949
761	3024	944
762	3029	941
763	3031	936
764	3032	931
765	3037	927
766	3041	923
767	3045	919
768	3049	916
769	3054	912
770	3058	908
771	3060	903
772	3065	900
773	3069	896
774	3072	892
775	3076	887
776	3079	883
777	3081	879
778	3084	875
779	3086	870
780	3089	866
781	3091	861
782	3095	857
783	3098	853
784	3100	849
785	3103	845
786	3107	841
787	3110	836
788	3112	832
789	3115	828
790	3119	824
791	3123	820
792	3125	815
793	3128	811
794	3132	807
795	3136	803
796	3139	799
797	3143	795
798	3144	791
799	3148	787
800	3152	783
801	3155	779
802	3157	774
803	3160	770
804	3164	766
805	3168	762
806	3171	758
807	3175	754
808	3177	750
809	3182	746
810	3188	743
811	3193	739
812	3196	735
813	3200	731
814	3204	727
815	3209	723
816	3214	719
817	3220	716
818	3222	712
819	3227	708
820	3230	704
821	3235	700
822	3240	696
823	3241	692
824	3246	688
825	3248	684
826	3253	680
827	3255	676
828	3257	671
829	3263	668
830	3269	664
831	3275	661
832	3280	657
833	3285	653
834	3291	650
835	3296	646
836	3301	642
837	3302	638
838	3305	634
839	3307	630
840	3312	626
841	3316	622
842	3322	618
843	3327	614
844	3331	611
845	3337	607
846	3342	603
847	3344	599
848	3348	595
849	3354	592
850	3356	587
851	3361	583
852	3363	579
853	3370	576
854	3375	572
855	3380	568
856	3386	565
857	3392	561
858	3394	557
859	3395	552
860	3402	549
861	3407	545
862	3412	541
863	3420	538
864	3422	534
865	3427	530
866	3432	526
867	3436	522
868	3441	518
869	3447	515
870	3453	511
871	3457	507
872	3458	503
873	3464	499
874	3466	495
875	3468	490
876	3471	486
877	3473	482
878	3474	478
879	3480	474
880	3485	470
881	3488	466
882	3489	462
883	3493	458
884	3497	454
885	3502	450
886	3505	446
887	3510	442
888	3512	438
889	3517	434
890	3518	430
891	3522	426
892	3524	422
893	3529	418
894	3532	414
895	3535	410
896	3539	406
897	3543	402
898	3548	398
899	3553	394
900	3557	390
901	3561	386
902	3566	383
903	3571	379
904	3573	375
905	3577	371
906	3580	367
907	3582	363
908	3586	359
909	3588	354
910	3590	350
911	3593	346
912	3597	342
913	3601	338
914	3604	334
915	3608	330
916	3611	326
917	3615	322
918	3619	319
919	3623	315
920	3628	311
921	3632	307
922	3636	303
923	3640	299
924	3644	295
925	3648	291
926	3652	287
927	3655	283
928	3659	279
929	3663	275
930	3669	271
931	3672	267
932	3676	264
933	3677	259
934	3681	255
935	3685	252
936	3687	247
937	3690	243
938	3694	239
939	3698	236
940	3701	232
941	3705	228
942	3707	224
943	3711	220
944	3712	216
945	3714	212
946	3717	208
947	3721	204
948	3723	200
949	3727	196
950	3730	192
951	3734	188
952	3735	184
953	3739	180
954	3740	176
955	3744	172
956	3747	168
957	3751	164
958	3754	160
959	3758	156
960	3759	152
961	3761	148
962	3763	144
963	3766	140
964	3770	136
965	3774	132
966	3777	128
967	3781	125
968	3784	121
969	3788	117
970	3790	113
971	3794	109
972	3797	105
973	3801	101
974	3805	97
975	3806	93
976	3810	89
977	3814	85
978	3818	81
979	3823	78
980	3825	74
981	3828	70
982	3832	66
983	3836	62
984	3840	58
985	3842	54
986	3846	50
987	3850	46
988	3855	42
989	3856	38
990	3859	35
991	3863	31
992	3865	27
993	3869	23
994	3873	19
995	3877	15
996	3880	11
997	3884	7
998	3888	3
999	3891	0
